charge_type_code,charge_type_name,category,active,notes
OTH,OTHER CHARGES,OTHER CHARGES,YES,Generic catch-all charge
INSUR,INSURANCE-VALUE,INSURANCE-VALUE,YES,Cargo insurance based on declared value
BATTERIES,BATTERIES,BATTERIES,YES,Lithium battery handling fee
PALLETE,PALLETE,PALLETE,YES,Palletized shipment fee
PRO,PROTOCOL,PROTOCOL,YES,Customs protocol charge
TSP,"TERMINATE CHARGES, AUTOM",TERMINATE CHARGES,NO,Inactive
GREEN,TERMINATE CHARGES,TERMINATE CHARGES,NO,Inactive
COC,TERMINATE CHARGES,TERMINATE CHARGES,NO,Inactive
PC,TERMINATE CHARGES,TERMINATE CHARGES,NO,Inactive
OVERSIZE,TERMINATE CHARGES,TERMINATE CHARGES,NO,Inactive
